,id,name,nameWithOwner,stargazers.totalCount
122,MDEwOlJlcG9zaXRvcnkxNjQ0MTk2,julia,JuliaLang/julia,38813
123,MDEwOlJlcG9zaXRvcnkyMzk3NDE0OQ==,materialize,Dogfalo/materialize,38682
124,MDEwOlJlcG9zaXRvcnkxNTA2Mjg2OQ==,jest,facebook/jest,38517
125,MDEwOlJlcG9zaXRvcnk2MDkzMzE2,DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,38426
126,MDEwOlJlcG9zaXRvcnk1MTk4MDQ1NQ==,alacritty,alacritty/alacritty,38424
127,MDEwOlJlcG9zaXRvcnk2MjM2NzU1OA==,hyper,vercel/hyper,38194
128,MDEwOlJlcG9zaXRvcnkyOTIwNzYyMQ==,caddy,caddyserver/caddy,38200
129,MDEwOlJlcG9zaXRvcnkxNjYzNDY4,pdf.js,mozilla/pdf.js,38104
130,MDEwOlJlcG9zaXRvcnkxNTAxOTk2Mg==,tldr,tldr-pages/tldr,37972
131,MDEwOlJlcG9zaXRvcnkyNjE3ODc3NTg=,design-resources-for-developers,bradtraversy/design-resources-for-developers,37908
132,MDEwOlJlcG9zaXRvcnkzMTYyOTc1MQ==,cypress,cypress-io/cypress,37822
133,MDEwOlJlcG9zaXRvcnk0MjQwODgwNA==,traefik,traefik/traefik,37481
134,MDEwOlJlcG9zaXRvcnkxMzIzMzE1OA==,obs-studio,obsproject/obs-studio,37433
135,MDEwOlJlcG9zaXRvcnk0NzEwOTIw,dubbo,apache/dubbo,37055
136,MDEwOlJlcG9zaXRvcnkxNTQ1MjkxOQ==,go-ethereum,ethereum/go-ethereum,36499
137,MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,playwright,microsoft/playwright,36303
138,MDEwOlJlcG9zaXRvcnk2NTc5NDI5Mg==,styled-components,styled-components/styled-components,36289
139,MDEwOlJlcG9zaXRvcnk3NzQxODU2,pixijs,pixijs/pixijs,35979
140,MDEwOlJlcG9zaXRvcnkxOTY3MDE2MTk=,tauri,tauri-apps/tauri,35881
141,MDEwOlJlcG9zaXRvcnkyMDYxOTAzNg==,pi-hole,pi-hole/pi-hole,35664
142,MDEwOlJlcG9zaXRvcnk3NTY5NTc4,discourse,discourse/discourse,35436
143,MDEwOlJlcG9zaXRvcnk4NjgxMzQ5,huginn,huginn/huginn,35325
144,MDEwOlJlcG9zaXRvcnkyMTE2NjY=,node-v0.x-archive,nodejs/node-v0.x-archive,34734
145,MDEwOlJlcG9zaXRvcnk1OTIzMjE1,hexo,hexojs/hexo,34503
146,MDEwOlJlcG9zaXRvcnkyNzQ0Mjk2Nw==,fastlane,fastlane/fastlane,34350
147,MDEwOlJlcG9zaXRvcnk2Nzk2MjY0OA==,vuetify,vuetifyjs/vuetify,33892
148,MDEwOlJlcG9zaXRvcnkyNzcyOTg4MA==,grpc,grpc/grpc,33863
149,MDEwOlJlcG9zaXRvcnk3NDYyNzYxNw==,openpilot,commaai/openpilot,33863
150,MDEwOlJlcG9zaXRvcnkyOTM1NzM1,brackets,adobe/brackets,33656
151,MDEwOlJlcG9zaXRvcnkxOTAzNTIy,php-src,php/php-src,33558
152,MDEwOlJlcG9zaXRvcnk5MzExMzU=,Leaflet,Leaflet/Leaflet,33513
153,MDEwOlJlcG9zaXRvcnkxMzA0NjQ5NjE=,bat,sharkdp/bat,33383
154,MDEwOlJlcG9zaXRvcnk4NTgxMjc=,pandas,pandas-dev/pandas,33323
155,MDEwOlJlcG9zaXRvcnkxODI4Nzk1,AFNetworking,AFNetworking/AFNetworking,33304
156,MDEwOlJlcG9zaXRvcnk2NjcwMDY=,video.js,videojs/video.js,33076
157,MDEwOlJlcG9zaXRvcnk0OTYwOTU4MQ==,PowerShell,PowerShell/PowerShell,32800
158,MDEwOlJlcG9zaXRvcnkxNzE2NTY1OA==,spark,apache/spark,32495
159,MDEwOlJlcG9zaXRvcnkyOTI2MTQ3Mw==,minio,minio/minio,32438
160,MDEwOlJlcG9zaXRvcnkxMjc5MTY0Mg==,caffe,BVLC/caffe,32377
161,MDEwOlJlcG9zaXRvcnkxNzgwMzIzNg==,rclone,rclone/rclone,32110
162,MDEwOlJlcG9zaXRvcnk5NDkxMTE0NQ==,docusaurus,facebook/docusaurus,32087
163,MDEwOlJlcG9zaXRvcnkzNTg2NjY5NA==,Rocket.Chat,RocketChat/Rocket.Chat,32062
164,MDEwOlJlcG9zaXRvcnkyOTI2ODA1MQ==,material-design-lite,google/material-design-lite,31993
165,MDEwOlJlcG9zaXRvcnkxNzcyODE2NA==,terraform,hashicorp/terraform,31918
166,MDEwOlJlcG9zaXRvcnkxMDEzOTQzMzU=,ant-design-pro,ant-design/ant-design-pro,31760
167,MDEwOlJlcG9zaXRvcnk1MzIzODgxMw==,brew,Homebrew/brew,31647
168,MDEwOlJlcG9zaXRvcnkyNjc4MzI5NQ==,kong,Kong/kong,31598
169,MDEwOlJlcG9zaXRvcnk5MzkzNzU5,phaser,photonstorm/phaser,31512
170,MDEwOlJlcG9zaXRvcnk0MjI4MzI4Nw==,preact,preactjs/preact,31424
171,MDEwOlJlcG9zaXRvcnkxMDExMzgzMTU=,d2l-zh,d2l-ai/d2l-zh,31230
172,MDEwOlJlcG9zaXRvcnk3NzIxMzEyMA==,tabby,Eugeny/tabby,31082
173,MDEwOlJlcG9zaXRvcnk0MTk4NjM2OQ==,tidb,pingcap/tidb,30901
174,MDEwOlJlcG9zaXRvcnkxMjg2MjQ0NTM=,taro,NervJS/taro,30781
175,MDEwOlJlcG9zaXRvcnkyMTQ1ODcxOTM=,supabase,supabase/supabase,30750
176,MDEwOlJlcG9zaXRvcnk4NzMzMjg=,sentry,getsentry/sentry,30556
177,MDEwOlJlcG9zaXRvcnk0NTUxMjk4OQ==,gold-miner,xitu/gold-miner,30410
178,MDEwOlJlcG9zaXRvcnk5NDM2NzY3Nw==,formik,jaredpalmer/formik,30097
179,MDEwOlJlcG9zaXRvcnk5NzU0OTgz,tutorials,eugenp/tutorials,30063
180,MDEwOlJlcG9zaXRvcnk3NDE3NTgwNQ==,istio,istio/istio,29920
181,MDEwOlJlcG9zaXRvcnkyNTczMDU4,foundation-sites,foundation/foundation-sites,29229
182,MDEwOlJlcG9zaXRvcnk3MjQ5NTU3OQ==,gitea,go-gitea/gitea,29232
183,MDEwOlJlcG9zaXRvcnk0ODYyNjMzNQ==,vue-cli,vuejs/vue-cli,29131
184,MDEwOlJlcG9zaXRvcnk3OTE2MjY4Mg==,joplin,laurent22/joplin,28996
185,MDEwOlJlcG9zaXRvcnkxMzcwNzg0ODc=,core,vuejs/core,28937
186,MDEwOlJlcG9zaXRvcnkxMDY0NTYz,netty,netty/netty,28896
187,MDEwOlJlcG9zaXRvcnkyNjUxNjIxMA==,certbot,certbot/certbot,28798
188,MDEwOlJlcG9zaXRvcnkxMjAwMDUw,phantomjs,ariya/phantomjs,28783
189,MDEwOlJlcG9zaXRvcnkxNTQ5NTA5MjU=,react-use,streamich/react-use,28801
190,MDEwOlJlcG9zaXRvcnkyMzgzMTY0Mjg=,COVID-19,CSSEGISandData/COVID-19,28560
191,MDEwOlJlcG9zaXRvcnkyNDg0MTYzNQ==,date-fns,date-fns/date-fns,28435
192,MDEwOlJlcG9zaXRvcnkzMDk2OTE4OA==,react-boilerplate,react-boilerplate/react-boilerplate,28384
193,MDEwOlJlcG9zaXRvcnkyMzEyODM0NTI=,excalidraw,excalidraw/excalidraw,28254
194,MDEwOlJlcG9zaXRvcnk4NTAzMTQ0Mg==,hiring-without-whiteboards,poteto/hiring-without-whiteboards,28040
195,MDEwOlJlcG9zaXRvcnkzMDIwMzkzNQ==,metabase,metabase/metabase,27989
196,MDEwOlJlcG9zaXRvcnkyMTI2MTMwNDk=,cli,cli/cli,27977
197,MDEwOlJlcG9zaXRvcnkxNjk2NzcyOTc=,v,vlang/v,27957
198,MDEwOlJlcG9zaXRvcnkzNTc3OTE5,beego,beego/beego,27950
199,MDEwOlJlcG9zaXRvcnk5NTIxODk=,backbone,jashkenas/backbone,27865
200,MDEwOlJlcG9zaXRvcnk1Mjc3MzE1Nw==,typeorm,typeorm/typeorm,27830
201,MDEwOlJlcG9zaXRvcnkxNzYyMDM0Nw==,aspnetcore,dotnet/aspnetcore,27754
202,MDEwOlJlcG9zaXRvcnkxODQ0MjUx,todomvc,tastejs/todomvc,27734
203,MDEwOlJlcG9zaXRvcnk1MjI4MTI4Mw==,mastodon,mastodon/mastodon,27406
204,MDEwOlJlcG9zaXRvcnkyMDYwODQ=,legacy-homebrew,Homebrew/legacy-homebrew,27317
205,MDEwOlJlcG9zaXRvcnkyMDk2NTc5,marked,markedjs/marked,27276
206,MDEwOlJlcG9zaXRvcnk1NzIyMjMwMg==,gym,openai/gym,27107
207,MDEwOlJlcG9zaXRvcnkxNzQwMzgwMzE=,react-hook-form,react-hook-form/react-hook-form,27044
208,MDEwOlJlcG9zaXRvcnkyMjkzMTU4,metasploit-framework,rapid7/metasploit-framework,26829
209,MDEwOlJlcG9zaXRvcnkxMjUyNjYzMjg=,black,psf/black,26819
210,MDEwOlJlcG9zaXRvcnkzMjI0Nzg0Nw==,rxjs,ReactiveX/rxjs,26784
211,MDEwOlJlcG9zaXRvcnk0MDk5NzQ4Mg==,vim,vim/vim,26700
212,MDEwOlJlcG9zaXRvcnk0NTgwNTg=,symfony,symfony/symfony,26683
213,MDEwOlJlcG9zaXRvcnk3NTQ4OTg2,framework,laravel/framework,26674
214,MDEwOlJlcG9zaXRvcnk1MTk4MzI=,mitmproxy,mitmproxy/mitmproxy,26608
